ID,tno,bno,instr,ans,stimuli,cong,RT,Response,Status,gno
106702037,1,1,2,2,SH,2,1200.991857,2,1,1
106702037,2,1,2,2,SH,2,500.266863,2,1,1
106702037,3,1,1,2,HH,1,1062.113776,2,1,1
106702037,4,1,1,1,SH,2,633.424449,1,1,1
106702037,5,1,1,2,HS,2,533.29613,2,1,1
106702037,6,1,1,1,SH,2,573.772202,1,1,1
106702037,7,1,1,1,SH,2,-999,-999,3,1
106702037,8,1,1,2,HS,2,697.289002,2,1,1
106702037,9,1,2,2,HH,1,508.020336,2,1,1
106702037,10,1,1,2,HS,2,430.526935,2,1,1
106702037,11,1,2,1,SS,1,371.376797,1,1,1
106702037,12,1,2,1,SS,1,402.191351,1,1,1
106702037,13,1,2,2,SH,2,358.810956,2,1,1
106702037,14,1,2,1,SS,1,488.029026,1,1,1
106702037,15,1,1,2,HS,2,362.126965,2,1,1
106702037,16,1,2,2,HH,1,577.258308,2,1,1
106702037,17,1,2,2,HH,1,417.439844,2,1,1
106702037,18,1,1,1,SH,2,382.502594,1,1,1
106702037,19,1,1,2,HH,1,357.37081,2,1,1
106702037,20,1,1,1,SS,1,421.409354,1,1,1
106702037,21,1,1,1,SH,2,353.297859,2,2,1
106702037,22,1,1,1,SS,1,778.485917,1,1,1
106702037,23,1,2,1,SS,1,594.028819,1,1,1
106702037,24,1,2,1,HS,2,1327.85077,1,1,1
106702037,25,1,1,2,HH,1,472.750599,2,1,1
106702037,26,1,1,2,HH,1,413.12,2,1,1
106702037,27,1,1,1,SH,2,331.158707,1,1,1
106702037,28,1,2,2,SH,2,570.507924,2,1,1
106702037,29,1,2,1,SS,1,482.64045,1,1,1
106702037,30,1,2,2,HH,1,350.127815,2,1,1
106702037,31,1,2,2,SH,2,598.508687,2,1,1
106702037,32,1,2,2,SH,2,556.049854,2,1,1
106702037,33,1,1,2,HS,2,436.20275,2,1,1
106702037,34,1,1,1,SS,1,328.871982,1,1,1
106702037,35,1,1,2,HS,2,519.22252,2,1,1
106702037,36,1,2,2,SH,2,433.010937,2,1,1
106702037,37,1,1,2,HH,1,414.761608,2,1,1
106702037,38,1,2,2,HH,1,452.539973,2,1,1
106702037,39,1,2,1,SS,1,761.944823,1,1,1
106702037,40,1,2,1,SS,1,402.764639,1,1,1
106702037,41,1,1,1,SS,1,344.142442,1,1,1
106702037,42,1,1,1,SS,1,383.767753,1,1,1
106702037,43,1,2,2,HH,1,341.701094,2,1,1
106702037,44,1,2,1,HS,2,551.190666,1,1,1
106702037,45,1,1,2,HH,1,423.043297,2,1,1
106702037,46,1,1,1,SS,1,276.06178,1,1,1
106702037,47,1,2,1,HS,2,493.638584,1,1,1
106702037,48,1,1,2,HH,1,359.389397,2,1,1
106702037,49,1,1,1,SH,2,847.492232,1,1,1
106702037,50,1,2,2,SH,2,594.540529,2,1,1
106702037,51,1,2,1,HS,2,608.853781,1,1,1
106702037,52,1,1,2,HS,2,493.625798,2,1,1
106702037,53,1,1,1,SS,1,599.945046,1,1,1
106702037,54,1,2,2,HH,1,414.104485,2,1,1
106702037,55,1,2,1,SS,1,429.093483,1,1,1
106702037,56,1,2,1,HS,2,474.409344,1,1,1
106702037,57,1,1,1,SH,2,477.738786,1,1,1
106702037,58,1,1,2,HH,1,513.414541,2,1,1
106702037,59,1,2,1,HS,2,802.752475,1,1,1
106702037,60,1,1,1,SS,1,553.233405,1,1,1
106702037,61,1,2,2,HH,1,488.813207,2,1,1
106702037,62,1,2,1,HS,2,658.940924,1,1,1
106702037,63,1,1,2,HS,2,446.413037,2,1,1
106702037,64,1,2,1,HS,2,514.188845,1,1,1
106702037,65,2,2,2,SH,2,1277.184044,1,2,1
106702037,66,2,2,1,SS,1,1064.40216,1,1,1
106702037,67,2,1,1,SH,2,787.533038,1,1,1
106702037,68,2,1,1,SS,1,706.570915,1,1,1
106702037,69,2,2,1,HS,2,682.853349,1,1,1
106702037,70,2,1,2,HH,1,491.761986,2,1,1
106702037,71,2,1,1,SS,1,366.667363,1,1,1
106702037,72,2,1,1,SH,2,862.088226,1,1,1
106702037,73,2,2,1,SS,1,378.758342,1,1,1
106702037,74,2,1,1,SH,2,417.850228,1,1,1
106702037,75,2,2,1,HS,2,552.87666,1,1,1
106702037,76,2,1,2,HS,2,345.760447,2,1,1
106702037,77,2,1,2,HH,1,393.697895,2,1,1
106702037,78,2,1,1,SH,2,313.044424,1,1,1
106702037,79,2,2,1,SS,1,394.066114,1,1,1
106702037,80,2,1,2,HH,1,335.968481,2,1,1
106702037,81,2,2,1,HS,2,754.432006,2,2,1
106702037,82,2,2,2,HH,1,788.766166,2,1,1
106702037,83,2,1,1,SS,1,868.434023,1,1,1
106702037,84,2,1,2,HS,2,480.512489,2,1,1
106702037,85,2,2,2,SH,2,532.281832,2,1,1
106702037,86,2,2,1,HS,2,516.342218,1,1,1
106702037,87,2,2,1,HS,2,670.003773,1,1,1
106702037,88,2,2,2,SH,2,937.32204,2,1,1
106702037,89,2,2,1,SS,1,554.653554,1,1,1
106702037,90,2,1,1,SH,2,362.825826,1,1,1
106702037,91,2,2,2,HH,1,952.727514,2,1,1
106702037,92,2,2,2,SH,2,560.54681,2,1,1
106702037,93,2,1,2,HH,1,377.418824,2,1,1
106702037,94,2,1,1,SS,1,335.382786,1,1,1
106702037,95,2,1,2,HH,1,391.549231,2,1,1
106702037,96,2,2,1,HS,2,581.366275,1,1,1
106702037,97,2,1,2,HS,2,715.127385,2,1,1
106702037,98,2,1,2,HH,1,564.889315,2,1,1
106702037,99,2,1,1,SS,1,516.528809,1,1,1
106702037,100,2,2,1,HS,2,606.211671,1,1,1
106702037,101,2,1,2,HH,1,346.981793,2,1,1
106702037,102,2,1,2,HH,1,403.525073,2,1,1
106702037,103,2,2,2,SH,2,545.402121,2,1,1
106702037,104,2,2,2,HH,1,-999,-999,3,1
106702037,105,2,2,2,HH,1,1164.842716,2,1,1
106702037,106,2,2,2,HH,1,860.348215,2,1,1
106702037,107,2,2,2,SH,2,824.763155,2,1,1
106702037,108,2,2,1,SS,1,605.096726,1,1,1
106702037,109,2,1,2,HS,2,458.810465,2,1,1
106702037,110,2,2,1,SS,1,502.1665,1,1,1
106702037,111,2,1,1,SH,2,992.754574,2,2,1
106702037,112,2,1,2,HS,2,759.374162,2,1,1
106702037,113,2,2,2,SH,2,943.363589,2,1,1
106702037,114,2,2,1,SS,1,471.494454,1,1,1
106702037,115,2,2,2,HH,1,769.674153,2,1,1
106702037,116,2,2,1,SS,1,703.186373,1,1,1
