ID,tno,bno,instr,ans,stimuli,cong,RT,Response,Status,gno
105405182,1,1,2,2,SH,2,833.576032,2,1,2
105405182,2,1,2,2,SH,2,415.034433,2,1,2
105405182,3,1,2,1,HS,2,341.131239,1,1,2
105405182,4,1,1,2,HH,1,444.769091,2,1,2
105405182,5,1,2,1,SS,1,513.620612,1,1,2
105405182,6,1,1,1,SH,2,1121.736051,1,1,2
105405182,7,1,1,2,HS,2,682.502763,2,1,2
105405182,8,1,2,2,SH,2,717.36449,2,1,2
105405182,9,1,1,1,SS,1,574.704668,1,1,2
105405182,10,1,1,1,SH,2,1294.683699,1,1,2
105405182,11,1,1,2,HS,2,-999,-999,3,2
105405182,12,1,2,1,SS,1,803.272439,1,1,2
105405182,13,1,2,1,SS,1,570.790636,1,1,2
105405182,14,1,1,1,SH,2,801.843019,2,2,2
105405182,15,1,1,2,HH,1,958.518196,2,1,2
105405182,16,1,1,1,SH,2,1109.894429,1,1,2
105405182,17,1,1,1,SH,2,606.70565,1,1,2
105405182,18,1,1,1,SH,2,510.019769,1,1,2
105405182,19,1,1,2,HH,1,599.307628,2,1,2
105405182,20,1,1,2,HH,1,390.499603,2,1,2
105405182,21,1,1,2,HS,2,470.090724,1,2,2
105405182,22,1,1,1,SH,2,578.401286,1,1,2
105405182,23,1,1,1,SS,1,537.58002,1,1,2
105405182,24,1,2,2,SH,2,353.29701,2,1,2
105405182,25,1,1,2,HH,1,577.857397,2,1,2
105405182,26,1,2,1,SS,1,408.477582,1,1,2
105405182,27,1,2,2,HH,1,534.480769,2,1,2
105405182,28,1,2,2,SH,2,399.404132,2,1,2
105405182,29,1,1,1,SS,1,403.986097,1,1,2
105405182,30,1,1,2,HS,2,337.919519,2,1,2
105405182,31,1,2,1,HS,2,514.854412,1,1,2
105405182,32,1,2,2,HH,1,364.82997,2,1,2
105405182,33,1,2,2,HH,1,356.045426,2,1,2
105405182,34,1,1,1,SS,1,388.552153,1,1,2
105405182,35,1,1,2,HS,2,451.781492,2,1,2
105405182,36,1,2,2,HH,1,344.65001,2,1,2
105405182,37,1,2,2,HH,1,544.736339,2,1,2
105405182,38,1,1,2,HH,1,314.104491,2,1,2
105405182,39,1,2,2,HH,1,380.061734,2,1,2
105405182,40,1,2,2,HH,1,379.389079,2,1,2
105405182,41,1,2,1,HS,2,411.435907,1,1,2
105405182,42,1,1,2,HH,1,328.686777,2,1,2
105405182,43,1,1,1,SS,1,513.329959,1,1,2
105405182,44,1,1,1,SS,1,402.480435,1,1,2
105405182,45,1,1,1,SS,1,439.416574,1,1,2
105405182,46,1,2,1,HS,2,329.946494,1,1,2
105405182,47,1,2,2,SH,2,436.198347,1,2,2
105405182,48,1,1,1,SH,2,505.960465,2,2,2
105405182,49,1,1,1,SS,1,467.720623,1,1,2
105405182,50,1,2,1,HS,2,391.252419,1,1,2
105405182,51,1,2,1,SS,1,359.012573,1,1,2
105405182,52,1,2,2,HH,1,301.659997,2,1,2
105405182,53,1,2,2,SH,2,479.161538,2,1,2
105405182,54,1,2,1,SS,1,490.352555,1,1,2
105405182,55,1,2,1,SS,1,316.075636,1,1,2
105405182,56,1,1,2,HH,1,436.696753,2,1,2
105405182,57,1,2,1,SS,1,343.973189,1,1,2
105405182,58,1,2,1,HS,2,424.073425,2,2,2
